_id,date,location,location_level,demog,demog_cat,metric_cat,metric,value
1,2021-12-11,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,0.46852
2,2021-12-11,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,2976.71622
3,2021-12-11,CA,state,race_ethnicity,Latino,cases,cases_week_rate,90.93203
4,2021-12-11,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,1.04961
5,2021-12-11,CA,state,race_ethnicity,Latino,tests,tests_week_rate,4233.34434
6,2021-12-11,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,46.68982
7,2021-12-11,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,0.90222
8,2021-12-11,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,580.69049
9,2021-12-11,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,194.51669
10,2021-12-11,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,2.21042
11,2021-12-11,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,6090.43553
12,2021-12-11,CA,state,race_ethnicity,White,cases,cases_week_rate,82.04946
13,2021-12-11,CA,state,race_ethnicity,White,deaths,deaths_week_rate,1.3068
14,2021-12-11,CA,state,race_ethnicity,White,tests,tests_week_rate,3050.93982
15,2021-12-18,CA,state,race_ethnicity,African American,cases,cases_week_rate,169.82348
16,2021-12-18,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,1.58753
17,2021-12-18,CA,state,race_ethnicity,African American,tests,tests_week_rate,3683.76989
18,2021-12-18,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,145.98469
19,2021-12-18,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,0.485
20,2021-12-18,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,2843.06403
21,2021-12-18,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,87.43596
22,2021-12-18,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,0.38774
23,2021-12-18,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,3020.91888
24,2021-12-18,CA,state,race_ethnicity,Latino,cases,cases_week_rate,117.76748
25,2021-12-18,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,1.17761
26,2021-12-18,CA,state,race_ethnicity,Latino,tests,tests_week_rate,3931.44078
27,2021-12-18,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,79.05691
28,2021-12-18,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,0.90222
29,2021-12-18,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,586.1038
30,2021-12-18,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,279.24934
31,2021-12-18,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,2.21042
32,2021-12-18,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,6268.00569
33,2021-12-18,CA,state,race_ethnicity,White,cases,cases_week_rate,137.68382
34,2021-12-18,CA,state,race_ethnicity,White,deaths,deaths_week_rate,1.5246
35,2021-12-18,CA,state,race_ethnicity,White,tests,tests_week_rate,3204.54348
36,2021-12-25,CA,state,race_ethnicity,African American,cases,cases_week_rate,448.39246
37,2021-12-25,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,1.33686
38,2021-12-25,CA,state,race_ethnicity,African American,tests,tests_week_rate,3458.5919
39,2021-12-25,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,263.35445
40,2021-12-25,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,2.42499
41,2021-12-25,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,2473.00981
42,2021-12-25,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,269.88502
43,2021-12-25,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,0.48468
44,2021-12-25,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,3031.7272
45,2021-12-25,CA,state,race_ethnicity,Latino,cases,cases_week_rate,281.19937
46,2021-12-25,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,1.27361
47,2021-12-25,CA,state,race_ethnicity,Latino,tests,tests_week_rate,1941.67537
48,2021-12-25,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,130.14504
49,2021-12-25,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,1.015
